,nr_lambdas_ridge,nr_lambdas_lasso,min_lambda,max_lambda,k,datapoints,n_bootstrap,n_bootstraps_lasso,mindeg,maxdeg,lasso_tol,lasso_iterations,R2_lasso,R2_ridge,R2_OLS,MSEBOOTRIDGE,MSEBOOTLASSO,MSEBOOTOLS,MSEkfoldRIDGE,MSEkfoldLASSO,MSEkfoldOLS,bias_LASSO,bias_RIDGE,bias_OLS,variance_0LS,variance_Ridge,variance_LASSO,ideal_lambda_LASSO,ideal_lambda_RIDGE
10,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.4230620787862524,0.6925145839088143,0.6923022673726267,25323.18832214877,47514.148198664974,25340.673807145537,24509.878803031886,48015.30986872033,24395.261271210828,47456.54149817218,24686.55218205567,24696.998426042555,643.6753811029815,636.6361400930979,57.60670049279721,1.2915496650148827e-11,2.782559402207126e-14
11,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.42204104770395967,0.7084914919440671,0.708496713369608,25990.907090315413,51530.83706311636,25990.441547861734,23726.937579228445,47919.8230048594,23520.282633811254,51464.2277556437,25374.783500646372,25372.914166022725,617.5273818390077,616.1235896690445,66.60930747266984,2.154434690031878e-13,1.519911082952933e-16
12,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.45071903945974995,0.6742232008321967,0.6728387270946881,28416.75636495242,47912.507187288844,28537.52080549257,23598.13893933125,47831.741246794285,23568.912156834842,47845.22010641099,26970.27258113228,27054.18396664381,1483.3368388487622,1446.4837838201415,67.28708087785589,1e-10,4.1320124001153345e-17
13,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.4245451888844683,0.6880452847288395,0.6834321331754258,26887.203005398445,49598.12937415442,27284.80796611683,23947.635288165955,47721.326260088026,23290.896955100547,49517.37427840055,25522.05290588854,25704.973621339916,1579.834344776912,1365.1500995099059,80.75509575387709,5.994842503189421e-17,2.5353644939701167e-18
14,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.4349177130534529,0.6906221391646784,0.6822505682349709,25985.14224894259,47462.16671424919,26688.283905130305,23614.373862756325,47697.540011410536,22969.892294151126,47381.99567977097,24044.374945059622,23442.924427173166,3245.3594779571404,1940.7673038829673,80.17103447821732,1.2915496650148827e-11,5.994842503189421e-17
15,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.46254761983989884,0.7056146590897786,0.7048657467057876,24720.79752950698,45132.17754188847,24783.686908967036,22344.00906330501,47634.42210698228,21931.730551030265,45051.302661422036,21328.133789729633,20517.35593142398,4266.330977543057,3392.66373977735,80.87488046643946,7.742636826811278e-18,4.1320124001153345e-17
16,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.4278167376448272,0.7283411652492109,0.7362563406329317,23256.08540777385,48983.287550496,22578.48552441212,21900.505415643034,47438.939949328545,21004.84183486604,48912.71874964048,22026.973743473016,21003.38808514515,1575.0974392669675,1229.1116643008374,70.56880085551133,4.641588833612773e-16,1e-18
17,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.44125418079234574,0.6877127889023124,0.6699957370482666,26816.137881865612,47979.56623366622,28337.5031139168,21611.312806327333,47434.5872038598,23071.017138828327,47898.37719109159,23765.22030756669,23089.527613152768,5247.975500764031,3050.917574298924,81.18904257463832,2.154434690031878e-13,3.0538555088334123e-18
18,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.43009928975992395,0.6979640167234739,0.6087154712015691,25512.122019962786,48137.89503218523,33050.69328143537,21218.26615415907,47418.14284141293,23017.103255131842,48048.301500835725,22185.871206874413,23438.57864644441,9612.114634990961,3326.250813088372,89.59353134951635,1.2915496650148827e-11,2.1049041445120134e-18
19,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.44450325074256125,0.7300797507460115,0.6635958135988731,24043.351330632522,49481.29509488265,29965.458557082922,21323.21895828795,47321.31709307871,23124.507211701508,49392.1040348745,22594.743068675078,23705.44418334812,6260.014373734796,1448.6082619574427,89.19106000814153,2.154434690031878e-13,1.747528400007683e-18
20,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.453329780593134,0.7082069535867209,-0.5424717984675609,25760.175938047705,48261.331807292656,136173.03563746947,20895.95332064166,47297.77702279827,28853.05713158981,48173.58904302755,20890.88825507303,67735.29427677256,68437.7413606969,4869.287682974671,87.74276426510627,5.994842503189421e-17,1e-18
21,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.4475931990968057,0.7322302911234951,0.03523668327831679,23969.453355136826,49448.793528084076,86360.96075218364,20744.586749539347,47197.71728214019,25124.237461724515,49353.55744130296,21974.800151421256,22763.560320595527,63597.40043158814,1994.6532037155687,95.23608678111181,3.593813663804626e-15,5.336699231206302e-18
22,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.46827733499390684,0.7318215424967668,0.45817077218525465,24534.550057848275,48645.13154016932,49569.73962931338,21355.179651932667,47247.77881690514,31134.068354585354,48551.120448764894,22818.308708627505,22407.120435110435,27162.61919420294,1716.2413492207713,94.01109140443116,4.641588833612773e-16,9.32603346883218e-18
23,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.4582544150688917,0.734340807248702,-0.03960181064388792,22832.17427211138,46560.51792596414,89348.94918710773,21705.68689022934,47160.72470447452,58668.27623692287,46459.90329231176,20689.185616520102,22456.34621124816,66892.60297585955,2142.9886555912794,100.61463365239331,5.994842503189421e-17,5.994842503189421e-17
24,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.4371689538696293,0.6792144889119215,-5.091943440668722,26521.345680664686,46532.76478604782,503659.0876845165,21454.072168301118,47144.533227702996,36506.00243258268,46428.28445643037,22070.615105319655,68923.90122678922,434735.18645772716,4450.730575345028,104.48032961746263,7.742636826811278e-18,2.205130739903041e-16
25,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.4089535475004563,0.6912440584312532,-0.8034481451746497,25373.43029392212,48571.9428969368,148206.59180773495,21533.161306534468,47209.57828556537,60372.46605254283,48478.468238677364,22552.811284937667,34583.09340343141,113623.49840430352,2820.6190089844513,93.47465825943347,7.742636826811278e-18,1.4174741629268076e-15
26,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.44755872112903633,0.7216704455530728,-0.4672903076834694,23625.89227840071,46893.75575182079,124550.3475883346,21382.26401847852,47104.9248962985,153392.44355614067,46801.50786610465,22157.379162389956,23351.308969193346,101199.03861914124,1468.5131160107542,92.24788571614376,2.782559402207126e-14,3.593813663804626e-15
27,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.44497153711000553,0.6360401013429589,-15.001727006023037,32225.434215698282,49142.8678947832,1416811.5852127604,22114.972343698384,47096.8579939822,186036.32344400155,49044.60618603841,25142.761980767595,116440.45625907402,1300371.1289536864,7082.672234930686,98.26170874480076,7.742636826811278e-18,3.593813663804626e-15
28,100,10,-18,-10,5,5000,1000,52,2,30,0.3,10.0,0.4510379148603612,0.7318331531288748,-1.948148911187759,23335.527331540303,47769.96072117646,256544.05194813205,22468.776286613596,47049.34024951197,141605.35980893762,47666.556130299774,21225.235808891768,32031.764888216316,224512.2870599157,2110.291522648539,103.40459087667703,7.742636826811278e-18,9.111627561154906e-15
