,Lambda value,MSE Kfold-crossvalidation Ridge
169,0.001303598733662394,0.09386483036786651
170,0.0013417128354799117,0.09394381248262419
171,0.00138094130226254,0.09430889991351005
172,0.0014213167153703595,0.09418511961408256
173,0.0014628726087643118,0.09363328088146572
174,0.0015056434968579635,0.0943262812082931
175,0.0015496649031835924,0.09448660199708143
176,0.0015949733898963981,0.09422698124515343
177,0.0016416065881413467,0.09414677755786353
178,0.0016896032293078674,0.09351041906156769
179,0.0017390031771983693,0.09450084157652534
180,0.0017898474611372723,0.09445793170518829
181,0.0018421783100480832,0.0942671837777367
182,0.0018960391875267957,0.09368995998370269
183,0.0019514748279407536,0.09392165174807643
184,0.0020085312735829593,0.09383600942732653
185,0.0020672559129126834,0.09431086652005446
186,0.00212769751991414,0.09390769346358366
187,0.002189906294605915,0.09456834210207243
188,0.002253933904734791,0.09451820843310786
189,0.0023198335286886028,0.09531025956138958
190,0.0023876598996637583,0.09400953590635609
191,0.0024574693511241153,0.09487096235794427
192,0.0025293198635889633,0.09460871215380545
193,0.002603271112788984,0.0938135898091673
194,0.0026793845192301553,0.0942737880987701
195,0.0027577232992068057,0.09419928213747968
196,0.0028383525173061607,0.09507281835674711
197,0.002921339140447996,0.09489631766638253
198,0.0030067520935042774,0.09377615712204328
199,0.003094662316544993,0.09424555075665217
200,0.0031851428237577115,0.0940049242529803
201,0.003278268764089805,0.09407499132671493
202,0.0033741174836637113,0.0948560050717759
203,0.003472768590017064,0.09471493075793068
204,0.0035743040182210513,0.09446516331138771
205,0.0036788080989319186,0.09442632317766687
206,0.0037863676284321307,0.09465407232921311
207,0.0038970719407193685,0.09474529943298068
208,0.004011012981703255,0.09371397795548121
209,0.0041282853855713715,0.09390705652284567
210,0.004248986553388083,0.09436036543171053
211,0.00437321673399137,0.09496998342757117
212,0.0045010791072549105,0.09516110952930047
213,0.004632679869784527,0.09489753091275471
214,0.0047681283231202146,0.09442592783706145
215,0.004907536964516961,0.09413906272744173
216,0.005051021580379798,0.09403721011471222
217,0.0051987013424306654,0.09466870943804269
218,0.005350698906686955,0.09397474430722472
219,0.005507140515333962,0.09475026635100992
220,0.005668156101575836,0.09472364939536028
221,0.0058338793975521155,0.0937836593780646
222,0.00600444804540952,0.09384980498110428
223,0.006180003711621146,0.09424736289896568
224,0.006360692204648146,0.0947156275878693
225,0.006546663596041531,0.09480718057251576
226,0.006738072345084688,0.09435663926247884
227,0.0069350774270801625,0.09439190335311692
228,0.007137842465387231,0.09398383530242904
229,0.007346535867319934,0.09475249737413137
230,0.00756133096401845,0.0947694367905102
231,0.007782406154409961,0.09410586109458459
232,0.008009945053378603,0.09492567795905563
233,0.008244136644267534,0.09494353218896782
234,0.008485175435839817,0.09475055981497618
235,0.008733261623828429,0.09481318988554352
236,0.008988601257209676,0.09406240618525466
237,0.009251406409337939,0.09507909787056616
238,0.009521895354084075,0.09408924877727605
239,0.009800292747123655,0.09442677897088282
240,0.010086829812525627,0.09439032962518168
241,0.010381744534796398,0.09421314782742146
242,0.010685281856538812,0.09436084851724019
243,0.010997693881890215,0.09477373431443012
244,0.011319240085908552,0.09438828590553255
245,0.011650187530080413,0.09417159951293227
246,0.011990811084130025,0.09441880368940705
247,0.012341393654313396,0.09507806927087474
248,0.01270222641838724,0.0947286792809045
249,0.013073609067447818,0.0956910743912136
250,0.013455850054840625,0.0951831836508476
251,0.013849266852347476,0.09501126602706886
252,0.014254186213864012,0.09497672887717402
253,0.014670944446786452,0.09474878861575779
254,0.015099887691333032,0.0948891864385591
255,0.015541372208032167,0.09470608536712341
256,0.015995764673616044,0.09469306361587873
